program_id,channel_id,start,end,fitness
9perth_au_weekend_today_2026-01-04_0000,89,0,180,293
9gemperth_au_wnbl_canberra_capitals_v_2026-01-04_0180,71,180,300,247
10peachbrisbane_au_ridiculousness_2026-01-04_0300,10,300,330,68
7darwin_au_the_ashes_aus_v_eng_t5_d_2026-01-04_0330,30,330,479,303
7darwin_au_seven_news_2026-01-04_0479,30,479,540,203
abctvcanberra_au_abc_news_2026-01-04_0540,129,540,571,90
9go_canberra_au_ncis_2026-01-04_0571,63,571,630,197
10boldadelaide_au_ncis_2026-01-04_0630,0,630,690,188
bloombergtelevisio_leaders_with_francine_la_2026-01-04_0690,145,690,720,83
10boldadelaide_au_ncis_2026-01-04_0745,0,745,800,45
beinsports3_au_laliga_classic_atletico__2026-01-04_0800,497,800,835,132
beinsports3_au_laliga_sevilla_vs_levant_2026-01-04_0835,497,835,960,240
skynewsaustralia_a_sky_news_uk_live_2026-01-04_0960,454,960,1020,79
nsw_sydneyfoxsport_fox_sports_news_2026-01-04_1020,350,1020,1050,200
acc_au_praise_prayer_and_preach_2026-01-04_1050,132,1050,1080,148
9lifedarwin_au_getaway_2026-01-04_1080,82,1080,1110,90
7adelaide_au_nbc_today_2026-01-04_1110,22,1110,1170,205
7adelaide_au_sunrise_early_news_2026-01-04_1170,22,1170,1200,219
10boldbrisbane_au_home_shopping_2026-01-04_1290,1,1290,1320,61
10boldbrisbane_au_home_shopping_2026-01-04_1320,1,1320,1350,73
