program_id,channel_id,start,end,fitness
9perth_au_weekend_today_2026-01-04_0000,89,0,180,293
9gemperth_au_wnbl_canberra_capitals_v_2026-01-04_0180,71,180,300,247
aljazeera_au_news_live_2026-01-04_0300,138,300,330,76
7darwin_au_the_ashes_aus_v_eng_t5_d_2026-01-04_0330,30,330,479,303
7darwin_au_seven_news_2026-01-04_0479,30,479,540,203
abchobart_au_abc_news_2026-01-04_0540,99,540,571,90
9go_canberra_au_ncis_2026-01-04_0571,63,571,630,197
abcnewshobart_au_abc_news_2026-01-04_0630,123,630,660,82
nsw_sydneyfoxsport_full_time_live_4_1_26_2026-01-04_0660,350,660,690,198
nsw_sydneyfoxsport_full_time_live_4_1_26_2026-01-04_0690,350,690,720,150
10bolddarwin_au_ncis_2026-01-04_0720,2,720,775,57
10bolddarwin_au_ncis_2026-01-04_0775,2,775,831,62
10bolddarwin_au_blue_bloods_2026-01-04_0831,2,831,888,79
10bolddarwin_au_blue_bloods_2026-01-04_0888,2,888,945,65
abcmemelbourne_au_penn_and_teller_fool_us_2026-01-04_0945,113,945,986,87
abcmemelbourne_au_live_at_the_apollo_2026-01-04_0986,113,986,1032,201
7perth_au_macgruber_2026-01-04_1035,36,1035,1065,148
crime_2_au_csi_crime_scene_investig_2026-01-04_1065,179,1065,1115,77
9goperth_au_arrow_2026-01-04_1115,76,1115,1170,212
channel9adelaide_a_today_early_news_2026-01-04_1170,168,1170,1200,212
10boldbrisbane_au_home_shopping_2026-01-04_1290,1,1290,1320,61
10boldbrisbane_au_home_shopping_2026-01-04_1320,1,1320,1350,73
