program_id,channel_id,start,end,fitness
Channel_74_0,74,480,510,126
Channel_49_1,49,510,540,90
Channel_44_1,44,540,600,109
Channel_60_2,60,600,660,87
Channel_51_2,51,660,690,90
Channel_72_4,72,690,720,85
ITV_5,2,720,765,58
ITV_6,2,765,810,91
Film4_4,17,810,840,116
ITV4_5,9,840,885,89
Channel_75_5,75,885,975,89
Channel_116_8,116,975,1005,89
Channel_66_8,66,1005,1035,90
Comedy_Central_7,16,1035,1065,82
Channel_79_9,79,1065,1110,90
Channel_75_9,75,1110,1140,90
Channel_72_11,72,1155,1185,116
ITV_14,2,1185,1215,38
ITV_15,2,1215,1305,120
BBC_Two_10,1,1305,1350,32
BBC_Two_11,1,1350,1380,87
