program_id,channel_id,start,end,fitness
378840_2026_3_2026-01-04_0060,30,60,105,122
457621__2026-01-04_0105,228,105,145,112
490332_studio_2026-01-04_0150,966,150,300,124
378845__2026-01-04_0300,33,300,350,58
490331_news_goodmorning_japan_2026-01-04_0360,965,360,480,217
457676__2026-01-04_0480,282,480,510,67
457676__2026-01-04_0510,282,510,540,75
490331_scienceforeveryone_2026-01-04_0605,965,605,648,64
490331_familyhistory_2026-01-04_0665,965,665,713,76
457868__2026-01-04_0713,467,713,757,59
457757_por_macau_em_busca_do_pa_2026-01-04_0795,360,795,825,162
457757_telejornal_rtpi_diferido_2026-01-04_0870,360,870,930,151
378864__2026-01-04_0930,51,930,960,62
490331_hellofromstudiopark_2026-01-04_0960,965,960,1005,91
457964_16_2026-01-04_1005,558,1005,1070,62
457964_17_2026-01-04_1070,558,1070,1125,77
490331_nhknews_2026-01-04_1140,965,1140,1170,120
13893__2026-01-04_1170,3,1170,1200,74
13893__2026-01-04_1200,3,1200,1230,79
490331_newswatch_2026-01-04_1260,965,1260,1320,125
490331_scienceforeveryone_2026-01-04_1320,965,1320,1363,122
464610__2026-01-04_1363,799,1363,1408,70
458053__2026-01-04_1408,644,1408,1438,113
